step,lr,l0,dead_fraction,loss,reconstruction_loss,l1_loss,aux_loss
0,2.0000000000000002e-07,8181.67578125,0.0,29.413406372070312,13.708918571472168,3991.137451171875,13.708918571472168
1,4.0000000000000003e-07,8182.69921875,0.0,31.603809356689453,14.787178039550781,4058.88427734375,14.787188529968262
2,6.000000000000001e-07,8180.77392578125,0.0,30.444061279296875,14.217255592346191,4019.038330078125,14.217286109924316
3,8.000000000000001e-07,8179.6220703125,0.0,26.506690979003906,12.280630111694336,3890.78369140625,12.280669212341309
4,1e-06,8176.0927734375,0.0,26.412708282470703,12.23569107055664,3882.50830078125,12.235761642456055
5,1.2000000000000002e-06,8173.337890625,0.0,23.614551544189453,10.856369018554688,3803.43115234375,10.856466293334961
6,1.4e-06,8170.11767578125,0.0,29.533626556396484,13.767297744750977,3997.71337890625,13.767473220825195
7,1.6000000000000001e-06,8164.9501953125,0.0,23.38243865966797,10.744257926940918,3787.47314453125,10.744443893432617
8,1.8000000000000001e-06,8158.33935546875,0.0,33.544212341308594,15.739633560180664,4129.1904296875,15.739982604980469
9,2e-06,8154.1533203125,0.0,27.985584259033203,13.004382133483887,3952.91748046875,13.004743576049805
10,2.2e-06,8146.73681640625,0.0,27.766746520996094,12.898127555847168,3940.10595703125,12.898565292358398
11,2.4000000000000003e-06,8140.14404296875,0.0,24.40456771850586,11.244024276733398,3832.13134765625,11.244476318359375
12,2.6000000000000005e-06,8132.873046875,0.0,29.44190216064453,13.719902038574219,4002.857421875,13.720572471618652
13,2.8e-06,8124.26708984375,0.0,18.274417877197266,8.232155799865723,3619.30712890625,8.232608795166016
14,3e-06,8116.2998046875,0.0,30.978464126586914,14.47237777709961,4065.50537109375,14.473333358764648
15,3.2000000000000003e-06,8104.21923828125,0.0,27.601781845092773,12.813532829284668,3947.569091796875,12.814464569091797
16,3.4e-06,8094.841796875,0.0,25.285499572753906,11.676314353942871,3863.75732421875,11.677305221557617
17,3.6000000000000003e-06,8083.08203125,0.0,26.515260696411133,12.277853965759277,3916.74072265625,12.279036521911621
18,3.8e-06,8073.7392578125,0.0,29.612367630004883,13.798422813415527,4028.123291015625,13.799882888793945
19,4e-06,8062.1650390625,0.0,26.334033966064453,12.188470840454102,3911.25341796875,12.189936637878418
20,4.2000000000000004e-06,8049.13134765625,0.0,23.60686492919922,10.849105834960938,3814.42529296875,10.850545883178711
21,4.4e-06,8038.69921875,0.0,28.460582733154297,13.228309631347656,4004.091552734375,13.230228424072266
22,4.6e-06,8022.4560546875,0.0,24.323532104492188,11.200349807739258,3842.103515625,11.202129364013672
23,4.800000000000001e-06,8006.5390625,0.0,25.322925567626953,11.689242362976074,3884.7744140625,11.69129467010498
24,5e-06,7993.1943359375,0.0,24.932065963745117,11.49631404876709,3874.445556640625,11.498529434204102
25,5.200000000000001e-06,7976.94921875,0.0,24.100553512573242,11.087092399597168,3848.0703125,11.089426040649414
26,5.4e-06,7961.021484375,0.0,22.844966888427734,10.470918655395508,3801.530517578125,10.473283767700195
27,5.6e-06,7941.6982421875,0.0,21.60747718811035,9.864599227905273,3751.781982421875,9.866987228393555
28,5.8e-06,7927.4111328125,0.0,19.995590209960938,9.074689865112305,3687.6669921875,9.077067375183105
29,6e-06,7904.3681640625,0.0,23.308292388916016,10.694883346557617,3830.9560546875,10.697931289672852
30,6.200000000000001e-06,7886.40625,0.0,23.28032684326172,10.68069076538086,3831.39453125,10.683938980102539
31,6.4000000000000006e-06,7868.4423828125,0.0,20.902503967285156,9.516144752502441,3734.23193359375,9.519244194030762
32,6.6e-06,7845.33935546875,0.0,18.190101623535156,8.192187309265137,3605.82275390625,8.195001602172852
33,6.8e-06,7824.63623046875,0.0,16.730274200439453,7.478816032409668,3539.815185546875,7.4815497398376465
34,7e-06,7804.408203125,0.0,18.271217346191406,8.229454040527344,3618.142578125,8.232691764831543
35,7.2000000000000005e-06,7779.86083984375,0.0,20.06629180908203,9.105817794799805,3701.717041015625,9.10961627960205
36,7.4e-06,7759.54248046875,0.0,19.692970275878906,8.922134399414062,3689.6103515625,8.926032066345215
37,7.6e-06,7730.2646484375,0.0,16.201351165771484,7.22001314163208,3515.93896484375,7.223369598388672
38,7.8e-06,7705.8896484375,0.0,17.232337951660156,7.721937656402588,3569.35693359375,7.725721836090088
39,8e-06,7684.04052734375,0.0,18.87665557861328,8.52141284942627,3658.7783203125,8.525854110717773
